SenderReplyDiff,checkAttachments,subjReply,subjForward,subjNoOfWords,subjNoOfChar,subjVerify,subjDebit,subjBank,script_exist,checkPopup,checkJS,NoOnClick,html_exist,form_exist,noFunctionWords,avgDomainLength,noWords,check_suspend,check_verify,noOfURLs,noOfLinks,checkIP,checkAtSym,checkURLShorten,checkImg,checkPort,Phishing
0,0,True,False,8,50,False,False,False,False,0,0,0,True,False,2,0,57,False,False,1,0,1,1,1,0,1,1
1,0,False,False,4,23,False,False,False,False,0,0,0,True,False,14,42.5,317,False,False,4,2,1,1,1,2,1,1
1,1,False,False,6,41,False,False,False,False,0,0,0,True,False,9,36.1,1299,False,False,11,10,1,0,1,14,1,1
1,0,False,False,6,41,False,False,False,False,0,0,0,True,False,16,10.0,691,False,True,0,1,1,1,1,0,1,1
1,0,False,False,4,34,False,False,False,False,0,0,0,True,False,5,41.333333333333336,487,False,False,2,3,1,0,1,0,1,1
1,0,False,False,9,52,False,False,False,False,0,0,0,True,False,7,29.5,298,False,False,2,2,1,1,1,1,1,1
1,0,False,False,7,38,False,False,False,False,0,0,0,True,False,3,31.0,459,False,False,1,1,1,1,1,6,1,1
1,1,False,False,4,23,False,False,False,False,0,0,0,True,False,0,0,89,False,False,0,0,1,1,1,0,1,1
1,0,False,False,2,21,False,False,False,False,0,0,0,True,False,6,39.666666666666664,508,False,False,5,3,1,1,1,1,1,1
1,0,False,False,2,17,False,False,False,False,0,0,0,True,False,4,17.0,233,False,False,1,2,1,1,1,0,1,1
1,1,False,False,6,38,False,False,False,False,0,0,0,True,False,4,38.18181818181818,854,False,False,12,11,1,0,1,12,1,1
1,0,False,False,6,39,False,False,False,False,0,0,0,True,False,19,34.7,886,False,False,17,10,1,1,1,13,1,1
1,1,False,False,7,40,False,False,False,False,0,0,0,True,False,0,0,177,False,False,0,0,1,1,1,0,1,1
1,0,False,False,3,25,False,False,False,False,0,0,0,True,False,12,66.0,333,False,False,2,1,1,1,1,0,1,1
1,0,False,False,7,47,False,False,False,False,0,0,0,True,False,14,36.0,1167,False,False,13,5,1,1,1,9,1,1
1,1,False,False,5,35,False,False,False,False,0,0,0,True,False,14,35.42857142857143,1214,False,False,8,7,1,1,1,12,1,1
1,0,False,False,4,31,False,False,False,False,0,0,0,True,False,3,36.0,557,False,False,2,1,1,1,1,4,1,1
1,0,False,False,5,34,False,False,False,False,0,0,0,True,False,6,24.0,418,False,False,2,2,1,1,1,0,1,1
1,0,False,False,2,20,False,False,False,False,0,0,0,True,False,6,20.0,367,False,False,3,1,1,1,1,0,1,1
1,0,False,False,9,63,False,False,False,False,0,0,0,True,False,0,0,46,False,False,0,0,1,1,1,0,1,1
1,1,False,False,5,44,False,False,False,False,0,0,0,True,False,10,34.42857142857143,847,False,False,14,14,1,0,1,11,1,1
1,0,False,False,4,43,False,False,False,False,0,0,0,True,False,4,33.0,350,False,False,1,1,1,1,1,0,1,1
1,0,False,False,6,45,False,False,False,False,0,0,0,True,False,24,37.4,980,False,False,19,10,1,1,1,11,1,1
1,0,False,False,5,28,False,False,False,False,0,0,0,True,False,4,17.0,573,False,False,1,1,1,1,1,0,1,1
1,0,False,False,2,12,False,False,False,False,0,0,0,True,False,43,34.714285714285715,2262,False,False,13,7,1,1,1,8,1,1
1,0,False,False,3,23,False,False,False,False,0,0,0,True,False,14,26.0,829,False,False,19,10,1,1,1,11,1,1
1,0,False,False,3,22,False,False,False,False,0,0,0,True,False,4,64.66666666666667,144,False,False,7,3,1,1,1,1,1,1
1,0,False,False,7,38,False,False,False,False,0,0,0,True,False,37,36.42857142857143,1109,False,False,21,7,1,1,1,11,1,1
1,0,True,False,3,19,False,False,False,False,0,0,0,True,False,13,48.388888888888886,4442,False,False,88,18,1,1,1,65,1,1
1,0,False,False,6,49,False,False,False,False,0,0,0,False,False,0,0,0,False,False,0,0,1,1,1,0,1,1
1,1,False,False,6,50,False,False,False,False,0,0,0,True,False,0,0,382,False,False,0,0,1,1,1,0,1,1
1,1,False,False,3,24,False,False,False,False,0,0,0,True,False,1,0,1585,False,False,0,0,1,1,1,0,1,1
1,0,False,False,2,14,False,False,False,False,0,0,0,True,False,3,25.0,126,False,False,3,1,1,1,0,0,1,1
1,1,False,False,5,29,False,False,False,False,0,0,0,True,False,0,0,1787,False,False,0,0,1,1,1,0,1,1
1,0,False,False,1,11,False,False,False,False,0,0,0,True,False,0,76.0,116,True,False,1,1,1,1,1,0,1,1
1,0,False,False,7,42,False,False,False,False,0,0,0,True,False,11,38.45454545454545,991,False,False,12,11,1,1,1,12,1,1
1,0,False,False,6,41,False,False,False,False,0,0,0,True,False,3,49.0,34,False,False,1,1,1,1,1,0,1,1
1,0,False,False,9,53,False,False,False,False,0,0,0,True,False,19,38.0,277,False,False,2,1,1,1,1,1,1,1
1,0,False,False,3,19,False,False,False,False,0,0,0,True,False,5,28.0,103,False,False,2,1,1,1,1,0,1,1
1,1,False,False,2,13,False,False,False,False,0,0,0,True,False,0,0,367,False,False,0,0,1,1,1,0,1,1
1,1,False,False,5,40,False,False,False,False,0,0,0,True,False,0,0,3673,False,False,0,0,1,1,1,0,1,1
1,1,False,False,4,36,False,False,False,False,0,0,0,True,False,3,36.1,944,True,False,11,10,1,0,1,13,1,1
1,0,False,False,4,39,False,False,False,False,0,0,0,True,False,10,17.0,570,True,False,4,4,1,1,1,0,1,1
0,0,True,False,5,28,False,False,False,False,0,0,0,True,False,15,33.0,467,False,False,2,1,1,1,1,0,1,1
1,0,False,False,6,37,False,False,False,False,0,0,0,True,False,0,48.5,159,False,False,6,2,1,1,0,0,1,1
1,0,False,False,6,32,False,False,False,False,0,0,0,True,False,2,17.666666666666668,324,False,False,3,3,1,1,1,0,1,1
1,0,False,False,4,33,False,False,False,False,0,0,0,True,False,14,36.0,1168,False,False,13,5,1,1,1,9,1,1
1,0,False,False,2,21,False,False,False,False,0,0,0,True,False,7,0,250,False,True,1,0,1,1,1,0,1,1
1,0,False,False,3,14,False,False,False,False,0,0,0,True,False,0,50.666666666666664,141,False,False,5,3,1,1,1,1,1,1
1,0,False,False,6,30,False,False,False,False,0,0,0,True,False,10,6.0,275,False,False,3,2,1,1,1,2,1,1
1,0,False,False,4,39,False,False,False,False,0,0,0,True,False,10,18.0,532,True,False,3,3,1,1,1,0,1,1
1,0,False,False,4,33,False,False,False,False,0,0,0,True,False,14,36.0,1168,False,False,13,5,1,1,1,9,1,1
1,0,True,False,5,32,False,False,False,False,0,0,0,True,False,4,15.0,175,False,False,2,1,1,1,1,0,1,1
1,1,False,False,10,52,False,False,True,False,0,0,0,True,False,0,0,388,False,False,0,0,1,1,1,0,1,1
1,0,False,False,14,61,False,False,False,False,0,0,0,True,False,3,21.25,1118,False,False,4,4,1,1,1,1,1,1
1,0,False,False,4,28,False,False,False,False,0,0,0,True,False,7,22.0,348,False,False,2,2,1,1,1,0,1,1
1,0,False,False,4,33,False,False,False,False,0,0,0,True,False,4,35.0,382,False,False,5,2,1,1,1,1,1,1
1,0,False,False,5,29,False,False,False,False,0,0,0,True,False,11,45.0,401,False,True,8,5,1,1,1,3,1,1
1,1,False,False,4,29,False,False,False,False,0,0,0,True,False,15,39.0,2797,False,False,20,9,1,0,1,14,1,1
1,0,False,False,8,47,False,False,False,False,0,0,0,True,False,2,55.0,1308,False,False,1,1,1,0,0,0,1,1
1,1,False,False,8,49,False,False,False,False,0,0,0,True,False,0,0,583,False,False,0,0,1,1,1,0,1,1
1,0,False,False,2,24,False,False,False,False,0,0,0,True,False,0,31.0,82,False,False,1,1,1,1,1,0,1,1
1,1,False,False,5,29,False,False,False,False,0,0,0,True,False,0,0,417,False,False,0,0,1,1,1,0,1,1
1,0,False,False,2,14,False,False,False,False,0,0,0,True,False,6,47.0,647,False,False,1,1,1,1,1,0,1,1
1,0,False,False,4,25,False,False,False,False,0,0,0,True,False,6,27.0,249,False,False,4,1,1,1,1,0,1,1
1,0,False,False,6,41,False,False,False,False,0,0,0,True,False,0,0,19,False,False,2,0,1,1,1,1,1,1
1,0,False,False,4,25,False,False,False,False,0,0,0,True,False,2,0,26,False,False,1,0,1,1,1,0,1,1
1,1,False,False,3,32,False,False,False,True,1,1,3,True,True,104,27.483443708609272,5187,False,False,180,151,1,1,1,2,1,1
1,1,False,False,6,54,False,False,False,False,0,0,0,True,False,0,0,426,False,False,0,0,1,1,1,0,1,1
1,0,False,False,6,56,False,False,False,False,0,0,0,True,False,0,0,6,False,False,0,0,1,1,1,0,1,1
1,0,False,False,5,33,False,False,False,False,0,0,0,True,False,8,16.0,391,False,False,2,1,1,1,1,0,1,1
1,0,True,False,5,30,False,False,False,False,0,0,0,True,True,1,41.0,693,False,False,6,1,1,1,1,2,1,1
1,0,False,False,5,33,False,False,False,False,0,0,0,True,False,12,42.6,1135,False,False,13,5,1,1,1,9,1,1
1,0,False,False,5,40,False,False,False,False,0,0,0,True,False,0,23.0,190,False,False,3,1,1,1,1,1,1,1
1,0,False,False,5,36,False,False,False,False,0,0,0,True,False,7,50.0,439,False,False,1,1,1,1,1,0,1,1
1,1,False,False,8,53,False,False,True,False,0,0,0,True,False,5,42.0,413,False,True,7,7,1,1,1,6,1,1
1,0,False,False,1,13,False,False,False,False,0,0,0,True,False,9,40.0,252,False,True,1,1,1,1,1,0,1,1
1,1,False,False,9,52,False,False,False,False,0,0,0,True,False,0,0,434,False,False,0,0,1,1,1,0,1,1
1,0,False,False,3,26,False,False,False,False,0,0,0,True,False,8,29.0,180,False,False,3,1,1,1,1,0,1,1
1,1,False,False,7,56,False,False,False,False,0,0,0,True,False,0,0,406,False,False,0,0,1,1,1,0,1,1
1,0,False,False,5,41,False,False,False,False,0,0,0,True,False,5,41.333333333333336,490,False,False,3,3,1,0,1,0,1,1
1,0,False,False,2,22,False,False,False,False,0,0,0,True,False,13,50.0,318,False,False,4,2,1,1,1,2,1,1
1,1,False,False,5,41,False,False,False,False,0,0,0,True,False,0,0,323,False,False,0,0,1,1,1,0,1,1
1,0,False,False,1,4,False,False,False,False,0,0,0,True,False,19,34.7,886,False,False,17,10,1,1,1,13,1,1
1,0,False,False,2,9,False,False,False,False,0,0,0,True,False,1,0,59,False,False,1,0,1,1,1,0,1,1
1,0,False,False,9,63,False,False,False,False,0,0,0,True,False,11,49.785714285714285,875,False,False,36,14,1,0,1,10,1,1
1,0,False,False,6,41,False,False,False,False,0,0,0,True,False,3,49.0,34,False,False,1,1,1,1,1,0,1,1
1,0,False,False,4,35,True,False,False,False,0,0,0,True,False,3,8.0,229,False,False,2,1,1,1,1,0,1,1
1,1,False,False,5,53,False,False,False,False,0,0,0,True,False,15,36.666666666666664,1300,True,False,13,12,1,0,1,14,1,1
1,0,False,False,2,14,False,False,False,False,0,0,0,True,False,2,36.666666666666664,324,False,False,3,3,1,1,1,0,1,1
1,1,False,False,2,12,False,False,False,False,0,0,0,True,False,10,21.125,788,False,False,8,8,1,1,1,10,1,1
1,0,False,False,3,27,False,False,False,False,0,0,0,True,False,3,0,15,False,False,1,0,1,1,1,0,1,1
1,1,False,False,6,48,False,False,False,False,0,0,0,True,False,0,0,790,False,False,0,0,1,1,1,0,1,1
1,1,False,False,7,41,False,False,False,False,0,0,0,True,False,0,0,532,False,False,0,0,1,1,1,0,1,1
1,0,False,False,4,42,False,False,False,False,0,0,0,True,False,10,42.0,947,False,False,2,1,1,1,1,0,1,1
1,1,False,False,6,47,False,False,False,False,0,0,0,True,False,0,0,795,False,False,0,0,1,1,1,0,1,1
1,1,False,False,4,28,False,False,False,False,0,0,0,True,False,0,0,1472,False,False,0,0,1,1,1,0,1,1
1,0,False,False,3,20,False,False,False,False,0,0,0,True,False,0,16.0,195,False,False,4,1,1,1,1,1,1,1
1,0,False,False,9,59,False,False,False,False,0,0,0,True,False,15,44.5,305,False,False,2,2,1,1,1,0,1,1
1,0,False,False,5,46,False,False,False,False,0,0,0,True,False,5,0.0,461,False,False,1,1,1,1,1,0,1,1
1,0,False,False,4,24,False,False,False,False,0,0,0,True,False,3,0,30,False,False,1,0,1,1,1,0,1,1
1,0,False,False,4,33,False,False,False,False,0,0,0,True,False,27,50.42857142857143,1211,False,False,39,14,1,0,1,10,1,1
1,1,False,False,3,31,False,False,False,True,0,1,0,True,False,7,34.666666666666664,1114,False,False,6,6,1,1,1,2,1,1
1,0,False,False,6,36,False,False,False,False,0,0,0,True,False,2,22.5,245,False,False,3,2,1,1,1,3,1,1
1,1,False,False,9,52,False,False,True,False,0,0,0,True,False,0,0,357,False,False,0,0,1,1,1,0,1,1
1,0,False,False,2,17,False,False,False,False,0,0,0,True,False,5,12.5,270,True,False,4,4,1,1,0,2,1,1
1,0,False,False,4,27,False,False,False,False,0,0,0,True,False,16,8.0,395,False,False,9,1,1,1,1,1,1,1
1,1,False,False,3,29,False,False,False,False,0,0,0,True,False,7,0,755,False,False,0,0,1,1,1,0,1,1
1,1,False,False,6,56,False,False,False,False,0,0,0,True,False,10,37.5,1297,True,False,11,10,1,0,1,14,1,1
1,1,False,False,3,25,False,False,False,False,0,0,0,True,False,13,44.4,1228,False,False,10,5,1,0,1,2,1,1
1,0,False,False,2,20,False,False,False,False,0,0,0,True,False,8,18.0,1609,False,False,0,1,1,1,0,0,1,1
1,0,False,False,1,6,False,False,False,False,0,0,0,True,False,2,34.0,80,False,False,1,1,1,1,1,0,1,1
1,0,False,False,6,32,False,False,False,False,0,0,0,True,False,5,27.615384615384617,1000,False,False,54,13,1,0,1,12,1,1
1,0,False,False,3,21,True,False,True,False,0,0,0,True,False,25,54.0,417,False,False,4,2,0,1,1,2,1,1
1,1,False,False,5,33,False,False,False,False,0,0,0,True,False,9,36.1,1299,False,False,11,10,1,0,1,14,1,1
1,0,False,False,4,25,False,False,False,False,0,0,0,True,False,5,65.0,72,False,False,2,1,1,1,1,0,1,1
1,0,False,False,7,53,False,False,False,False,0,0,0,True,False,6,3.0,369,False,False,7,2,1,1,1,2,1,1
1,0,False,False,1,6,False,False,False,False,0,0,0,True,False,4,0,101,False,False,1,0,1,1,1,0,1,1
1,0,False,False,2,21,False,False,False,False,0,0,0,True,False,9,40.0,250,False,True,1,1,1,1,1,0,1,1
1,1,False,False,6,39,False,False,False,False,0,0,0,True,False,0,0,1136,False,False,0,0,1,1,1,0,1,1
1,0,False,False,10,76,False,False,False,False,0,0,0,True,False,6,14.0,293,False,False,1,1,1,1,1,0,1,1
1,1,False,False,9,52,False,False,False,False,0,0,0,True,False,10,33.642857142857146,843,False,False,16,14,1,0,1,11,1,1
1,0,False,False,3,25,False,False,False,False,0,0,0,True,False,4,24.0,223,False,False,1,1,1,1,1,0,1,1
1,0,False,False,4,30,False,False,False,False,0,0,0,True,False,11,29.0,804,False,False,1,1,1,1,1,0,1,1
1,0,False,False,4,24,False,False,False,False,0,0,0,True,False,12,27.0,1154,False,False,2,2,1,1,1,0,1,1
1,0,False,False,4,25,False,False,False,False,0,0,0,True,False,4,27.0,84,False,False,2,1,1,1,1,0,1,1
1,0,False,False,2,20,False,False,False,False,0,0,0,True,False,16,46.5,587,False,True,3,2,1,1,1,0,1,1
1,1,False,False,7,56,False,False,False,False,0,0,0,True,False,0,0,770,False,False,0,0,1,1,1,0,1,1
1,0,True,False,5,30,False,False,False,False,0,0,0,True,True,1,41.0,695,False,False,6,1,1,1,1,2,1,1
1,1,False,False,3,21,False,False,False,False,0,0,0,True,False,0,0,187,False,False,0,0,1,1,1,0,1,1
1,0,False,False,4,31,False,False,False,False,0,0,0,True,False,7,16.0,362,True,False,1,1,1,1,1,0,1,1
1,0,False,False,2,13,False,False,False,False,0,0,0,True,False,8,26.0,460,False,False,1,2,1,1,1,0,1,1
0,0,True,False,5,27,False,False,False,False,0,0,0,True,False,7,0,148,False,False,1,0,1,1,1,0,1,1
1,1,False,False,4,36,False,False,False,True,0,1,0,True,False,8,0,1061,False,False,0,0,1,1,1,0,1,1
1,1,False,False,1,12,False,False,False,False,0,0,0,True,False,1,0,1120,False,False,0,0,1,1,1,0,1,1
1,1,False,False,7,62,False,False,False,False,0,0,0,True,False,0,0,2378,False,False,0,0,1,1,1,0,1,1
1,0,False,False,10,53,False,False,False,False,0,0,0,True,False,22,44.36363636363637,1370,False,False,23,11,1,1,1,11,1,1
1,0,False,False,2,21,False,False,False,False,0,0,0,True,False,9,40.0,250,False,True,1,1,1,1,1,0,1,1
1,0,False,False,8,59,False,False,False,True,0,1,0,True,True,30,32.69230769230769,1675,False,True,22,13,1,1,1,15,1,1
1,1,False,False,2,15,False,False,False,False,0,0,0,True,False,0,0,752,False,False,0,0,1,1,1,0,1,1
1,0,False,False,3,28,False,False,False,False,0,0,0,True,False,0,63.0,83,False,False,1,1,1,0,1,0,1,1
1,0,False,False,3,20,False,False,False,False,0,0,0,True,False,3,19.5,405,False,False,2,2,1,1,1,0,1,1
1,0,False,False,6,35,False,False,False,False,0,0,0,True,False,3,0,235,False,False,1,0,1,1,1,0,1,1
1,0,False,False,6,49,False,False,False,False,0,0,0,True,False,43,41.0,1251,False,False,23,8,1,1,1,12,1,1
1,0,False,False,3,17,False,False,False,False,0,0,0,True,False,0,19.0,674,False,False,1,1,1,1,1,0,1,1
1,1,False,False,3,16,False,False,False,False,0,0,0,True,False,0,0,482,False,False,0,0,1,1,1,0,1,1
1,0,False,False,5,39,False,False,False,False,0,0,0,True,False,0,29.0,37,False,False,2,1,1,1,1,1,1,1
1,1,False,False,3,24,False,False,False,False,0,0,0,True,False,0,0,29,False,False,0,0,1,1,1,0,1,1
1,0,False,False,4,20,False,False,False,False,0,0,0,True,False,31,35.285714285714285,1135,False,False,23,7,1,1,1,12,1,1
1,0,False,False,3,24,False,False,False,False,0,0,0,True,False,9,62.0,252,False,False,1,1,1,1,1,0,1,1
1,1,False,False,5,34,False,False,False,True,0,1,0,True,True,113,27.195979899497488,3597,False,False,59,199,1,1,1,23,1,1
0,0,False,False,3,19,False,False,False,False,0,0,0,True,False,1,21.0,155,False,False,1,1,1,1,1,0,1,1
1,1,False,False,7,58,False,False,False,False,0,0,0,True,False,0,0,2118,False,False,0,0,1,1,1,0,1,1
1,0,False,False,8,49,False,False,False,False,0,0,0,True,False,0,0,47,False,False,0,0,1,1,1,0,1,1
1,0,False,False,5,38,False,False,False,False,0,0,0,True,False,9,64.0,265,False,False,2,1,1,1,1,0,1,1
1,1,True,False,6,32,False,False,False,False,0,0,0,True,False,0,0,744,False,False,0,0,1,1,1,0,1,1
1,0,False,False,4,25,False,False,False,False,0,0,0,True,False,8,64.0,104,False,False,1,1,1,1,1,0,1,1
1,0,False,False,11,71,False,False,False,False,0,0,0,True,False,6,37.5,367,False,False,8,2,1,0,1,2,1,1
1,0,False,False,9,49,False,False,False,False,0,0,0,True,False,25,45.0,341,False,False,4,1,1,1,1,1,1,1
1,1,False,False,5,31,False,False,False,False,0,0,0,True,False,0,0,3131,False,False,0,0,1,1,1,0,1,1
